#Time,Value
2160,0
2340,-0.93830225
2520,-7.71632955
2700,-10.73888304
2880,-16.90679182
3060,-21.06698724
3240,-16.34269
3420,-15.33241297
3600,-22.65332014
3780,38.07396473
3960,73.62009385
4140,342.1992725
4320,650.6341221
4500,1409.251521
4680,2973.988855
4860,3033.219684
5040,5230.460143
5220,12546.67087
5400,12820.81851
5580,9257.277669
5760,7507.439823
5940,8396.667005
6120,31587.62937
6300,33523.16758
6480,40980.53122
6660,43501.75733
6840,42556.41475
7020,42669.03446
7200,36859.37855
7380,33649.59628
7560,35439.11826
7740,33197.02634
7920,31603.15652
8100,30059.61085
8280,29237.17012
8460,24415.5114
8640,30808.88238
8820,32634.83823
9000,31777.06644
9180,27177.02125
9360,21334.60412
9540,16999.88914
9720,13915.43742
9900,11211.1673
10080,8903.609338
10260,6984.378951
10440,5586.189022
10620,4554.640235
10800,3788.291059
