#Time,Value
2160,0.00000000
2340,0.37294867
2520,-79.00477640
2700,-39.34709436
2880,-74.75834731
3060,-86.83632396
3240,-23.26107663
3420,54.98494896
3600,-98.83995576
3780,-37.10487537
3960,190.44822512
4140,326.79904182
4320,657.43143927
4500,1358.31928526
4680,2470.11149105
4860,4977.52088359
5040,4870.28899534
5220,12468.89360543
5400,12804.46236802
5580,9302.45628890
5760,7563.52243457
5940,8401.36978785
6120,30118.25993098
6300,31593.56946707
6480,35589.86045888
6660,37790.66070005
6840,38403.41743788
7020,35720.79420433
7200,34976.65059229
7380,33900.15326443
7560,34243.45747253
7740,33113.15449102
7920,33990.70760657
8100,32085.04395299
8280,29923.59587741
8460,30236.38966593
8640,33238.20693976
8820,31522.85156027
9000,30902.86971705
9180,30736.22108914
9360,28267.01917902
9540,17288.89312298
9720,13974.57007556
9900,11304.54575455
10080,8984.07995478
10260,7064.65267950
10440,5649.43822671
10620,4529.34759196
10800,3796.79207042
