#Time,Value
0.00000000,0.00000000
180.00000000,-23.03814078
360.00000000,17.89381780
540.00000000,32.63820586
720.00000000,-49.70607468
900.00000000,-71.49496023
1080.00000000,-16.56418402
1260.00000000,17.95366489
1440.00000000,-37.92976735
1620.00000000,-38.31763183
1800.00000000,53.13439442
1980.00000000,156.94830687
2160.00000000,45.82776966
2340.00000000,-23.60019006
2520.00000000,14.95912083
2700.00000000,68.73115352
2880.00000000,10.20304173
3060.00000000,-32.71128786
3240.00000000,10.64069800
3420.00000000,35.27329444
3600.00000000,-34.91316293
3780.00000000,9.63770050
3960.00000000,100.84407329
4140.00000000,395.46536043
4320.00000000,699.75519923
4500.00000000,1447.56821965
4680.00000000,2498.71358739
4860.00000000,3151.02927846
5040.00000000,5365.82131932
5220.00000000,12662.25090764
5400.00000000,12842.19113611
5580.00000000,9322.20769775
5760.00000000,7567.65007292
5940.00000000,8536.37988265
6120.00000000,31408.60838247
6300.00000000,33678.94813399
6480.00000000,43069.61127686
6660.00000000,42493.13846996
6840.00000000,41288.35661697
7020.00000000,42766.43200092
7200.00000000,37389.97758304
7380.00000000,34707.74958277
7560.00000000,35887.18469252
7740.00000000,32841.72797157
7920.00000000,31146.68761019
8100.00000000,29996.56427727
8280.00000000,28592.86531345
8460.00000000,24302.60422229
8640.00000000,30779.23248590
8820.00000000,32641.81511258
9000.00000000,31737.86986771
9180.00000000,27252.38116352
9360.00000000,21331.78187865
9540.00000000,17010.56932956
9720.00000000,13940.63693564
9900.00000000,11265.94369243
10080.00000000,8970.70648404
10260.00000000,7060.99824345
10440.00000000,5653.13915467
10620.00000000,4595.98487834
10800.00000000,3823.71903653
10980.00000000,3287.07784728
11160.00000000,2836.82348316
11340.00000000,2378.88189603
11520.00000000,2122.02329884
11700.00000000,1870.11499238
11880.00000000,1659.80575205
12060.00000000,1459.77951263
12240.00000000,714.13719885
12420.00000000,455.09975041
12600.00000000,838.28667210
12780.00000000,684.86217075
12960.00000000,413.02127298
